customer_id,credit_score,total_debt,total_active_loans,default_risk,shopping_category_most_frequent
C00791,686,581,7,Low,Fashion
C00792,682,229,2,Low,Fashion
C00794,787,756,5,Low,Electronics
C00795,649,2141,9,High,Electronics
C00796,448,213,1,High,Fashion
C00797,650,542,5,Low,Electronics
C00798,576,70,1,Low,Electronics
C00799,613,141,1,Low,Electronics
C00800,563,174,1,Low,Home/Furniture
C00801,719,165,1,Low,Home/Furniture
C00802,676,218,2,Low,Electronics
C00803,678,0,0,Low,Electronics
C00804,698,377,2,Low,Electronics
C00805,556,348,2,Medium,Fashion
C00806,813,536,5,Low,Home/Furniture
C00807,619,205,2,Low,Home/Furniture
C00808,756,402,3,Low,Fashion
C00809,635,418,2,Low,Electronics
C00810,771,434,2,Low,Electronics
C00811,626,244,2,Low,Electronics
C00812,657,86,1,Low,Travel
C00813,706,161,1,Low,Travel
C00814,724,337,2,Low,Fashion
C00815,611,678,5,Low,Home/Furniture
C00816,629,542,3,Low,Travel
C00817,664,336,4,Low,Groceries/Essentials
C00818,773,1497,8,Medium,Electronics
C00819,662,377,3,Low,Home/Furniture
C00821,785,133,1,Low,Electronics
C00822,743,349,3,Low,Fashion
C00823,737,125,1,Low,Groceries/Essentials
C00824,667,150,1,Low,Home/Furniture
C00825,605,148,1,Low,Electronics
C00826,669,179,1,Low,Electronics
C00827,703,127,1,Low,Fashion
C00829,658,801,4,Low,Fashion
C00830,686,649,4,Low,Fashion
C00831,624,211,1,Low,Electronics
C00832,633,120,1,Low,Fashion
C00833,717,0,0,Low,Travel
C00834,600,142,2,Low,Fashion
C00835,677,64,1,Low,Travel
C00836,631,125,3,Low,Fashion
C00837,649,217,1,Low,Electronics
C00838,699,564,2,Low,Electronics
C00839,634,301,3,Low,Electronics
C00840,693,100,1,Low,Fashion
C00841,705,141,2,Low,Home/Furniture
C00842,672,192,1,Low,Electronics
C00843,618,70,1,Low,Electronics
C00844,693,754,6,Low,Fashion
C00845,526,385,3,High,Fashion
C00846,696,389,2,Low,Groceries/Essentials
C00847,583,276,2,Medium,Groceries/Essentials
C00848,687,203,1,Low,Fashion
C00849,626,232,1,Low,Fashion
C00850,524,132,1,Medium,Groceries/Essentials
C00851,668,116,1,Low,Electronics
C00852,782,307,2,Low,Fashion
C00853,623,567,4,Low,Electronics
C00854,713,386,4,Low,Electronics
C00855,710,170,2,Low,Electronics
C00857,605,164,1,Low,Home/Furniture
C00858,394,480,2,Medium,Electronics
C00859,660,654,4,Low,Fashion
C00860,786,158,2,Low,Home/Furniture
C00861,575,289,2,Medium,Home/Furniture
C00862,624,150,1,Low,Fashion
C00863,585,342,3,Medium,Home/Furniture
C00864,615,708,4,Low,Fashion
C00865,747,247,1,Low,Electronics
C00867,554,416,2,Medium,Home/Furniture
C00868,717,302,4,Low,Home/Furniture
C00869,735,125,1,Low,Home/Furniture
C00870,592,147,1,Low,Electronics
C00871,644,80,1,Low,Fashion
C00872,691,290,2,Low,Fashion
C00873,529,233,2,Low,Electronics
C00874,738,357,2,Low,Electronics
C00875,622,1149,5,Medium,Fashion
C00876,695,506,5,Low,Travel
C00877,651,392,2,Low,Groceries/Essentials
C00878,668,0,0,Low,Fashion
C00879,764,122,1,Low,Electronics
C00880,638,108,1,Low,Electronics
C00881,640,0,0,Low,Fashion
C00882,764,377,2,Low,Home/Furniture
C00883,676,104,1,Low,Home/Furniture
C00884,463,1080,5,High,Travel
C00885,673,483,3,Low,Home/Furniture
C00886,702,0,0,Low,Fashion
C00887,664,166,1,Low,Groceries/Essentials
C00888,606,150,1,Low,Fashion
C00889,545,497,4,High,Fashion
C00890,725,860,4,Low,Fashion
C00891,680,183,2,Low,Electronics
C00892,671,148,1,Low,Fashion
C00893,551,162,1,Low,Fashion
C00894,591,1803,10,High,Fashion
C00895,716,424,2,Low,Home/Furniture
C00896,694,346,3,Low,Electronics
C00897,701,331,2,Low,Electronics
C00898,822,1113,6,Low,Electronics
C00899,784,80,1,Low,Fashion
C00900,629,428,2,Low,Groceries/Essentials
C00901,538,562,5,Medium,Travel
C00902,669,200,1,Low,Fashion
C00903,739,474,3,Low,Travel
C00904,665,373,3,Low,Electronics
C00905,650,481,4,Low,Fashion
C00907,672,1219,6,Medium,Travel
C00908,646,411,3,Low,Fashion
C00909,587,942,5,High,Travel
C00910,750,166,1,Low,Fashion
C00911,738,373,2,Low,Fashion
C00912,582,119,1,Low,Electronics
C00913,721,608,4,Low,Electronics
C00914,704,159,1,Low,Fashion
C00915,634,1,3,Low,Electronics
C00916,639,195,2,Low,Travel
C00917,691,379,2,Low,Fashion
C00918,696,190,1,Low,Fashion
C00919,667,279,2,Low,Fashion
C00920,673,217,2,Low,Electronics
C00921,734,81,1,Low,Fashion
C00922,668,207,1,Low,Travel
C00923,607,0,0,Low,Electronics
C00924,696,288,2,Low,Fashion
C00925,803,0,0,Low,Fashion
C00926,625,715,4,Low,Electronics
C00927,600,0,0,Low,Fashion
C00928,671,202,3,Low,Electronics
C00929,740,242,2,Low,Electronics
C00931,565,401,3,High,Fashion
C00932,684,151,2,Low,Home/Furniture
C00933,673,157,1,Low,Fashion
C00934,555,0,0,Low,Groceries/Essentials
C00935,509,394,2,Medium,Fashion
C00936,719,556,3,Low,Fashion
C00937,451,242,2,Medium,Electronics
C00938,689,595,3,Low,Fashion
C00939,629,596,3,Medium,Travel
C00940,750,153,2,Low,Electronics
C00941,742,314,2,Low,Electronics
C00942,475,811,5,High,Fashion
C00943,742,836,7,Low,Fashion
C00944,630,198,1,Low,Fashion
C00945,745,183,3,Low,Fashion
C00947,634,290,3,Low,Home/Furniture
C00948,502,692,5,High,Home/Furniture
C00949,681,480,2,Low,Home/Furniture
C00950,541,561,5,High,Fashion
C00951,655,611,3,Low,Fashion
C00952,646,427,3,Low,Fashion
C00953,695,330,2,Low,Travel
C00954,496,2100,10,High,Electronics
C00955,657,245,2,Low,Fashion
C00956,764,162,1,Low,Fashion
C00957,362,0,0,Low,Home/Furniture
C00958,717,325,2,Low,Electronics
C00961,653,99,1,Low,Travel
C00962,534,141,1,Low,Fashion
C00963,705,86,1,Low,Fashion
C00964,627,323,2,Low,Fashion
C00965,705,627,3,Low,Travel
C00966,704,0,0,Low,Fashion
C00967,686,0,0,Low,Fashion
C00968,657,444,3,Low,Fashion
C00969,693,1272,9,Low,Home/Furniture
C00970,713,833,5,Low,Fashion
C00972,746,174,1,Low,Fashion
C00973,579,512,3,Medium,Travel
C00974,605,555,7,Low,Electronics
C00975,452,263,2,Medium,Fashion
C00976,717,129,1,Low,Fashion
C00977,623,0,0,Low,Fashion
C00978,670,206,1,Low,Fashion
C00979,722,174,2,Low,Fashion
C00980,664,172,1,Low,Travel
C00981,599,999,8,High,Fashion
C00982,703,591,6,Low,Fashion
C00983,799,371,2,Low,Groceries/Essentials
C00984,584,0,0,Low,Electronics
C00985,808,391,3,Low,Fashion
C00986,734,399,3,Low,Fashion
C00988,707,129,1,Low,Fashion
C00989,448,400,3,High,Home/Furniture
C00990,632,136,2,Low,Fashion
C00991,662,322,2,Low,Electronics
C00992,661,392,2,Low,Fashion
C00993,704,0,0,Low,Home/Furniture
C00994,618,1620,7,High,Electronics
C00995,591,599,4,Low,Electronics
C00996,715,0,0,Low,Fashion
C00997,739,664,3,Low,Home/Furniture
C00998,727,80,1,Low,Electronics
C00999,622,224,1,Low,Fashion
C01000,664,300,2,Low,Electronics
C01001,669,287,1,Low,Home/Furniture
C01002,682,0,0,Low,Fashion
C01003,727,252,2,Low,Fashion
C01004,641,432,2,Low,Fashion
C01005,620,95,1,Low,Fashion
C01006,681,1004,9,Medium,Electronics
C01007,718,365,4,Low,Electronics
C01008,734,260,1,Low,Home/Furniture
C01009,637,389,3,Low,Electronics
C01010,609,192,3,Low,Electronics
C01011,716,377,2,Low,Electronics
C01012,597,184,1,Low,Electronics
C01013,630,0,0,Low,Fashion
C01014,657,769,3,Low,Groceries/Essentials
C01015,666,239,1,Low,Travel
C01016,643,299,4,Low,Travel
C01017,753,320,2,Low,Electronics
C01018,698,207,1,Low,Fashion
C01019,680,198,1,Low,Fashion
C01020,716,883,7,Low,Electronics
C01021,850,970,5,Low,Electronics
C01022,643,103,1,Low,Electronics
C01023,692,607,4,High,Travel
C01024,672,222,1,Low,Electronics
C01025,646,157,2,Low,Home/Furniture
C01026,686,142,1,Low,Fashion
C01027,686,355,2,Low,Fashion
C01028,660,169,1,Low,Home/Furniture
C01030,617,94,1,Low,Fashion
C01031,669,357,3,Low,Travel
C01032,600,453,3,Low,Electronics
C01033,722,136,1,Low,Home/Furniture
C01035,608,776,4,Medium,Fashion
C01036,721,838,5,Low,Electronics
C01037,647,242,1,Low,Electronics
C01038,755,130,1,Low,Fashion
C01039,533,353,2,Low,Home/Furniture
C01040,701,147,1,Low,Fashion
C01041,674,983,5,Low,Fashion
C01042,645,356,3,Low,Fashion
C01043,546,244,1,Medium,Fashion
C01044,711,390,2,Low,Fashion
C01045,615,718,3,Low,Electronics
C01046,629,773,5,Medium,Groceries/Essentials
C01047,619,164,1,Low,Fashion
C01048,700,569,5,Low,Home/Furniture
C01049,753,316,2,Low,Home/Furniture
C01051,668,443,3,Low,Travel
C01052,747,0,0,Low,Electronics
C01053,665,225,2,Low,Electronics
C01054,690,147,1,Low,Travel
C01055,704,0,0,Low,Fashion
C01056,722,90,1,Low,Fashion
C01057,656,361,2,Low,Fashion
C01058,590,282,2,Low,Electronics
C01060,642,411,4,Low,Travel
C01061,554,0,0,Low,Groceries/Essentials
C01062,568,858,6,Low,Fashion
